entry_id,self_accession,parent_accession
114,JGAS00000000039,
115,JGAD00000000078,JGAP00000000001
115,JGAP00000000001,JGAC00000000001
115,JGAS00000000078,
116,JGAS00000000047,
117,JGAD00000000079,JGAP00000000001
117,JGAP00000000001,JGAC00000000001
117,JGAS00000000079,
118,JGAD00000000080,JGAP00000000001
118,JGAP00000000001,JGAC00000000001
118,JGAS00000000080,
119,JGAD00000000047,JGAP00000000004
119,JGAP00000000001,JGAC00000000001
119,JGAP00000000004,JGAC00000000001
119,JGAS00000000047,
120,JGAD00000000028,JGAP00000000001
120,JGAP00000000001,JGAC00000000001
120,JGAS00000000028,
121,JGAS00000000046,
122,JGAD00000000039,JGAP00000000005
122,JGAP00000000005,JGAC00000000001
122,JGAS00000000039,
123,JGAS00000000039,
124,JGAD00000000039,JGAP00000000005
124,JGAP00000000005,JGAC00000000001
124,JGAS00000000039,
137,JGAP00000000001,JGAC00000000001
138,JGAP00000000001,JGAC00000000001
139,JGAP00000000001,JGAC00000000001
140,JGAD00000000046,JGAP00000000001
140,JGAP00000000001,JGAC00000000001
140,JGAS00000000046,
141,JGAD00000000091,JGAP00000000004
141,JGAP00000000004,JGAC00000000001
141,JGAS00000000091,
142,JGAP00000000001,JGAC00000000001
143,JGAP00000000001,JGAC00000000001
144,JGAD00000000086,JGAP00000000001
144,JGAP00000000001,JGAC00000000001
144,JGAS00000000086,
145,JGAD00000000087,JGAP00000000004
145,JGAP00000000004,JGAC00000000001
145,JGAS00000000087,
146,JGAD00000000089,JGAP00000000004
146,JGAP00000000004,JGAC00000000001
146,JGAS00000000089,
147,JGAD00000000090,JGAP00000000001
147,JGAP00000000001,JGAC00000000001
147,JGAS00000000090,
150,JGAP00000000001,JGAC00000000001
151,JGAD00000000039,JGAP00000000005
151,JGAP00000000005,JGAC00000000001
151,JGAS00000000039,
152,JGAD00000000039,JGAP00000000005
152,JGAP00000000005,JGAC00000000001
152,JGAS00000000039,
153,JGAD00000000041,JGAP00000000001
153,JGAP00000000001,JGAC00000000001
153,JGAS00000000041,
154,JGAD00000000011,JGAP00000000001
154,JGAP00000000001,JGAC00000000001
154,JGAS00000000011,
155,JGAD00000000065,JGAP00000000001
155,JGAP00000000001,JGAC00000000001
155,JGAS00000000065,
156,JGAD00000000085,JGAP00000000001
156,JGAP00000000001,JGAC00000000001
156,JGAS00000000085,
157,JGAD00000000092,JGAP00000000001
157,JGAP00000000001,JGAC00000000001
157,JGAS00000000092,
158,JGAS00000000059,
159,JGAD00000000085,JGAP00000000001
159,JGAP00000000001,JGAC00000000001
159,JGAS00000000085,
160,JGAD00000000085,JGAP00000000001
160,JGAP00000000001,JGAC00000000001
160,JGAS00000000085,
161,JGAD00000000057,JGAP00000000001
161,JGAP00000000001,JGAC00000000001
161,JGAS00000000057,
162,JGAD00000000032,JGAP00000000001
162,JGAP00000000001,JGAC00000000001
162,JGAS00000000032,
163,JGAD00000000094,JGAP00000000001
163,JGAP00000000001,JGAC00000000001
163,JGAS00000000094,
164,JGAD00000000091,JGAP00000000004
164,JGAP00000000004,JGAC00000000001
164,JGAS00000000091,
165,JGAD00000000086,JGAP00000000004
165,JGAP00000000004,JGAC00000000001
165,JGAS00000000086,
166,JGAD00000000088,JGAP00000000004
166,JGAP00000000004,JGAC00000000001
166,JGAS00000000088,
167,JGAD00000000087,JGAP00000000004
167,JGAP00000000004,JGAC00000000001
167,JGAS00000000087,
168,JGAD00000000086,JGAP00000000004
168,JGAP00000000004,JGAC00000000001
168,JGAS00000000086,
169,JGAD00000000059,JGAP00000000001
169,JGAP00000000001,JGAC00000000001
169,JGAS00000000059,
170,JGAS00000000059,
171,JGAD00000000095,JGAP00000000001
171,JGAP00000000001,JGAC00000000001
171,JGAS00000000095,
172,JGAD00000000096,JGAP00000000001
172,JGAP00000000001,JGAC00000000001
172,JGAS00000000096,
173,JGAD00000000091,JGAP00000000004
173,JGAP00000000004,JGAC00000000001
173,JGAS00000000091,
174,JGAP00000000001,JGAC00000000001
175,JGAD00000000093,JGAP00000000001
175,JGAP00000000001,JGAC00000000001
175,JGAS00000000093,
176,JGAD00000000092,JGAP00000000001
176,JGAP00000000001,JGAC00000000001
176,JGAS00000000092,
177,JGAD00000000087,JGAP00000000004
177,JGAP00000000004,JGAC00000000001
177,JGAS00000000087,
178,JGAD00000000059,JGAP00000000001
178,JGAP00000000001,JGAC00000000001
178,JGAS00000000059,
179,JGAP00000000006,JGAC00000000001
180,JGAD00000000098,JGAP00000000009
180,JGAP00000000009,JGAC00000000001
180,JGAS00000000098,
181,JGAP00000000006,JGAC00000000001
182,JGAD00000000004,JGAP00000000004
182,JGAP00000000001,JGAC00000000001
182,JGAP00000000004,JGAC00000000001
182,JGAS00000000004,
183,JGAD00000000109,JGAP00000000004
183,JGAP00000000004,JGAC00000000001
183,JGAS00000000104,
184,JGAD00000000099,JGAP00000000001
184,JGAP00000000001,JGAC00000000001
184,JGAS00000000099,
185,JGAD00000000101,JGAP00000000001
185,JGAD00000000102,JGAP00000000001
185,JGAP00000000001,JGAC00000000001
185,JGAS00000000101,
186,JGAD00000000004,JGAP00000000004
186,JGAP00000000001,JGAC00000000001
186,JGAP00000000004,JGAC00000000001
186,JGAS00000000004,
187,JGAP00000000001,JGAC00000000001
188,JGAD00000000077,JGAP00000000001
188,JGAP00000000001,JGAC00000000001
188,JGAS00000000077,
189,JGAP00000000004,JGAC00000000001
190,JGAD00000000106,JGAP00000000004
190,JGAD00000000107,JGAP00000000004
190,JGAD00000000108,JGAP00000000004
190,JGAP00000000004,JGAC00000000001
191,JGAD00000000106,JGAP00000000004
191,JGAD00000000107,JGAP00000000004
191,JGAD00000000108,JGAP00000000004
191,JGAP00000000004,JGAC00000000001
191,JGAS00000000004,
192,JGAD00000000101,JGAP00000000001
192,JGAD00000000102,JGAP00000000001
192,JGAP00000000001,JGAC00000000001
192,JGAS00000000101,
193,JGAD00000000047,JGAP00000000004
193,JGAP00000000001,JGAC00000000001
193,JGAP00000000004,JGAC00000000001
193,JGAS00000000047,
194,JGAD00000000117,JGAP00000000001
194,JGAD00000000118,JGAP00000000001
194,JGAP00000000001,JGAC00000000001
194,JGAS00000000109,
195,JGAD00000000104,JGAP00000000001
195,JGAD00000000105,JGAP00000000001
195,JGAP00000000001,JGAC00000000001
195,JGAS00000000103,
196,JGAD00000000110,JGAP00000000003
196,JGAD00000000111,JGAP00000000003
