entry_id,self_accession,parent_accession
796,JGAZ000001951,JGAS000125
796,JGAZ000001952,JGAS000125
796,JGAZ000001953,JGAS000125
796,JGAZ000001954,JGAS000125
796,JGAZ000001955,JGAS000125
796,JGAZ000001956,JGAS000125
796,JGAZ000001957,JGAS000125
796,JGAZ000001958,JGAS000125
796,JGAZ000001959,JGAS000125
796,JGAZ000001960,JGAS000125
796,JGAZ000001961,JGAS000125
796,JGAZ000001962,JGAS000125
796,JGAZ000001963,JGAS000125
796,JGAZ000001964,JGAS000125
796,JGAZ000001965,JGAS000125
796,JGAZ000001966,JGAS000125
796,JGAZ000001967,JGAS000125
796,JGAZ000001968,JGAS000125
796,JGAZ000001969,JGAS000125
796,JGAZ000001970,JGAS000125
796,JGAZ000001971,JGAS000125
796,JGAZ000001972,JGAS000125
796,JGAZ000001973,JGAS000125
796,JGAZ000001974,JGAS000125
796,JGAZ000001975,JGAS000125
796,JGAZ000001976,JGAS000125
796,JGAZ000001977,JGAS000125
796,JGAZ000001978,JGAS000125
796,JGAZ000001979,JGAS000125
796,JGAZ000001980,JGAS000125
796,JGAZ000001981,JGAS000125
796,JGAZ000001982,JGAS000125
796,JGAZ000001983,JGAS000125
796,JGAZ000001984,JGAS000125
796,JGAZ000001985,JGAS000125
796,JGAZ000001986,JGAS000125
796,JGAZ000001987,JGAS000125
796,JGAZ000001988,JGAS000125
796,JGAZ000001989,JGAS000125
796,JGAZ000001990,JGAS000125
796,JGAZ000001991,JGAS000125
796,JGAZ000001992,JGAS000125
796,JGAZ000001993,JGAS000125
796,JGAZ000001994,JGAS000125
796,JGAZ000001995,JGAS000125
796,JGAZ000001996,JGAS000125
796,JGAZ000001997,JGAS000125
796,JGAZ000001998,JGAS000125
796,JGAZ000001999,JGAS000125
796,JGAZ000002000,JGAS000125
796,JGAZ000002001,JGAS000125
796,JGAZ000002002,JGAS000125
796,JGAZ000002003,JGAS000125
796,JGAZ000002004,JGAS000125
796,JGAZ000002005,JGAS000125
796,JGAZ000002006,JGAS000125
796,JGAZ000002007,JGAS000125
796,JGAZ000002008,JGAS000125
796,JGAZ000002009,JGAS000125
796,JGAZ000002010,JGAS000125
796,JGAZ000002011,JGAS000125
796,JGAZ000002012,JGAS000125
796,JGAZ000002013,JGAS000125
796,JGAZ000002014,JGAS000125
796,JGAZ000002015,JGAS000125
796,JGAZ000002016,JGAS000125
796,JGAZ000002017,JGAS000125
796,JGAZ000002018,JGAS000125
796,JGAZ000002019,JGAS000125
796,JGAZ000002020,JGAS000125
796,JGAZ000002021,JGAS000125
796,JGAZ000002022,JGAS000125
796,JGAZ000002023,JGAS000125
796,JGAZ000002024,JGAS000125
796,JGAZ000002025,JGAS000125
796,JGAZ000002026,JGAS000125
796,JGAZ000002027,JGAS000125
802,JGAZ000001905,JGAS000124
802,JGAZ000001906,JGAS000124
802,JGAZ000001907,JGAS000124
806,JGAZ000002119,JGAS000138
806,JGAZ000002120,JGAS000138
806,JGAZ000002121,JGAS000138
806,JGAZ000002122,JGAS000138
806,JGAZ000002123,JGAS000138
806,JGAZ000002124,JGAS000138
806,JGAZ000002125,JGAS000138
806,JGAZ000002126,JGAS000138
806,JGAZ000002127,JGAS000138
